Year,Event
935,Due to the break of COVUD-19.Company X declared bankrupcy.But how?,
912,Company X was established,
,,
,,
915,Company X kept growing,
,,
917,Company X went to the stock market,
918,Company X became the biggest company,
,,
,,
921,A scandal broke. Company X was bad in media reporting,
,,
,,
924,Company X tried to reform,
925,The reform was not successful,
,,
927,The profit kept decreasing,
,,
929,E-commerce grew up,
930,Company X was threatened by the trend,
,,
,,
933,Its offline stores kept shutting down,
,,
935,Due to the break of COVUD-19.Company X declared bankrupcy,
